Crop Name,Scientific name,Seed Code,soil_type,irrigation_source,fertilizer_used,seed_type,weather_condition,ownership_type,loan_taken,insurance_status,pesticide_usage,last_sowing_date,expected_harvest_date
Barley,Hordeum vulgare L.,100100000001,Laterite,River,Organic,Certified,Dry Spell,Sharecropped,Yes,Not Enrolled,Medium,2024-09-21,2025-01-28
Barnyard Millet,Echinocloa frumantaceae (Roxb). Link,100200000001,Arid,Drip,Compost,Certified,Flood,Leased,No,Not Enrolled,Low,2024-09-09,2024-12-31
Buckwheat,Fagopyrum esculentum; Fagopyrum tataricum,100300000001,Saline,River,Urea,Hybrid,Normal,Owned,Yes,Enrolled,Low,2024-08-18,2025-01-15
Finger Millet,Eleusine coracana (L.) Gaertn.,100400000001,Arid,River,Compost,Hybrid,Flood,Sharecropped,No,Not Enrolled,High,2024-08-24,2024-12-15
Foxtail Millet,Setaria italic (L.) Beauv,100500000001,Saline,River,Urea,Local,Excess Rain,Owned,Yes,Enrolled,None,2024-09-09,2025-01-13
Grain Amaranth,Amaranthus hypochondriacs; Amaranthus currentus; Amaranthus caudatus; Amaranthus edulis,100600000001,Black,Canal,Vermicompost,Hybrid,Normal,Sharecropped,Yes,Enrolled,Low,2024-07-07,2024-10-27
Kodo Millet,Pasplum scorbiculum L.,100800000001,Black,Canal,Urea,Certified,Normal,Owned,No,Not Enrolled,Medium,2024-07-03,2024-10-22
Little Millet,Panicum sumatrense Roth. Ex. Roemer And Schultes,100900000001,Black,Drip,Urea,Certified,Flood,Owned,No,Enrolled,High,2024-10-18,2025-01-25
Maize,Zea mays L.,101000000001,Alluvial,Tube Well,Urea,Certified,Dry Spell,Leased,Yes,Not Enrolled,High,2024-06-01,2024-09-19
Oat,Avena sativa L.,101100000001,Red,None,Compost,Hybrid,Flood,Sharecropped,No,Enrolled,Medium,2024-08-20,2024-12-07
Pearl Millet,Pennisetum glaucum (L.) R.Br.,101300000001,Alluvial,Tube Well,DAP,Local,Flood,Leased,Yes,Not Enrolled,Low,2024-07-05,2024-11-15
Proso Millet,Panicum maliaceum L.,101400000001,Saline,Tube Well,Urea,Hybrid,Dry Spell,Leased,No,Enrolled,Medium,2024-09-10,2025-01-12
Quinoa,Chenopodium quinoa,101600000001,Arid,Drip,Vermicompost,Local,Dry Spell,Sharecropped,No,Not Enrolled,Medium,2024-07-13,2024-11-11
Rice,Oryza sativa L.,101700000001,Red,None,Compost,Hybrid,Drought,Sharecropped,No,Enrolled,None,2024-08-21,2024-12-28
Sorghum,Sorghum bicolor ( L.) Moench,101800000001,Laterite,Tube Well,Urea,Hybrid,Normal,Leased,Yes,Enrolled,None,2024-10-23,2025-03-22
Wheat,Triticum aestivum L.; Triticum durum Desf.; Triticum dicoccum L.,101900000001,Saline,River,NPK,Hybrid,Flood,Leased,No,Not Enrolled,Low,2024-10-27,2025-03-04
Durum Wheat,Triticum durum Desf.,101902000001,Red,Drip,DAP,Hybrid,Drought,Leased,No,Not Enrolled,Low,2024-08-31,2025-01-08
Dicoccum Wheat,Triticum dicoccum L.,101903000001,Saline,None,NPK,Local,Normal,Sharecropped,No,Enrolled,High,2024-09-18,2025-01-12
Bakla,Vicia faba,200200000001,Laterite,River,NPK,Hybrid,Excess Rain,Owned,Yes,Not Enrolled,None,2024-07-11,2024-11-19
Bhatt,Phaseolus vulgaris L.,200300000001,Arid,Drip,Vermicompost,Local,Drought,Sharecropped,Yes,Enrolled,None,2024-09-19,2025-01-23
